"bundle id","bundle title","tag"
"1386","Hazard Reboot Bundle",NULL
"1388","Artifex Mundi Bundle #3",NULL
"1397","The Extinction Bundle",NULL
"1398","Last Dream Bundle",NULL
"1399","Summer Dream Bundle",NULL
"1405","Friday Special Bundle #42",NULL
"1409","Monday Motivation Bundle #11",NULL
"1412","Hump Day Bundle #31",NULL
"1415","Apokalypse Countdown Bundle",NULL
"1421","Power Rage Bundle",NULL
"1423","Indie Rush Bundle",NULL
"1427","Monday Motivation Bundle #12",NULL
"1435","Friday Christmas Bundle",NULL
"1439","XXL Winter Bundle",NULL
"1442","Hump Day Bundle #32",NULL
"1446","Ballistic Finale Bundle",NULL
"1449","Monday Motivation Bundle #13",NULL
"1451","Artifex Mundi Bundle #4",NULL
"1454","The Odyssey Bundle",NULL
"1456","The Kiss &amp; Chill Bundle",NULL
"1462","The Pixel Dungeons Bundle",NULL
"1464","Friday Slaughter Bundle",NULL
"1471","Monday Motivation Bundle #14",NULL
"1476","Hump Day Bundle #33",NULL
"1480","Leaps and Bounds Bundle",NULL
"1483","Indie Runway Bundle",NULL
"1487","Indie Aftermath Bundle",NULL
"1492","Virtual Reality II Bundle",NULL
"1496","Monday Motivation Bundle #15",NULL
"1500","Blasting Blocks Bundle",NULL
"1504","Friday Special Bundle #45",NULL
"1514","Hump Day Bundle #34",NULL
"1519","Dagestan Technology Bundle #2",NULL
"1526","Monday Motivation Bundle #16",NULL
"1537","Chaos Empire Bundle",NULL
"1542","Virtual Reality III Bundle",NULL
"1550","The Insanity Bundle",NULL
"1554","Indie Reverie Bundle",NULL
"1557","Friday Special Bundle #46",NULL
"1560","Monday Motivation Bundle #17",NULL
"1566","Hump Day Bundle #35",NULL
"1571","The Indiespensable Bundle",NULL
"1572","Indie Mental",NULL
"1573","The Rockin' Anime 2 Bundle",NULL
"1576","Demon's Dash",NULL
"1579","Mystic Xscape Bundle",NULL
"1584","Artifex Mundi Bundle #5",NULL
"1585","Virtual Reality IV Bundle",NULL
"1589","Monday Motivation Bundle #18",NULL
"1590","Hump Day Bundle #36",NULL
"1592","Just 1337 Complete",NULL
"1594","Indie Tangle Bundle",NULL
"1595","Friday Special #47",NULL
"1606","The Dark Triumph Bundle",NULL
"1607","Monday Motivation #19",NULL
"1609","Bridge Constructor Complete Bundle",NULL
"1615","Virtual Reality V Bundle",NULL
"1618","Black Shell Media Bundle",NULL
"1620","Indie Rocket Bundle",NULL
"1622","Friday Special #48",NULL
"1632","Monday Motivation #20",NULL
"1638","Hump Day Bundle #37",NULL
"1640","Indie Contingency Bundle",NULL
"1645","The Heads Up Bundle",NULL
"1649","Anime Backstage Bundle",NULL
"1653","Virtual Reality VI Bundle",NULL
"1656","Monday Motivation Bundle #21",NULL
"1659","Indie Innovation Bundle",NULL
"1660","The Daedalic Jumble Bundle",NULL
"1661","Friday Special Bundle #49",NULL
"1668","Little Nightmares Bundle",NULL
"1669","The Retro Gems Bundle",NULL
"1670","Black Shell Media Bundle #2",NULL
"1672","Hump Day Bundle #38",NULL
"1680","Indie Gravity Bundle",NULL
"1683","Monday Motivation #22",NULL
"1689","The Spaced Out Bundle",NULL
"1691","Virtual Reality VII Bundle",NULL
"1696","Indiestructible Bundle",NULL
"1699","The Indie Extravaganza Bundle",NULL
"1704","Friday Special Bundle #50",NULL
"1714","Monday Motivation #23",NULL
"1725","Hump Day Bundle #39",NULL
"1729","Indie Revenge Bundle",NULL
"1734","Artifex Mundi Bundle #6",NULL
"1736","The Cossacks Bundle",NULL
"1739","The Indie Quest Bundle",NULL
"1741","The Stalker Bundle",NULL
"1743","Virtual Reality VIII Bundle",NULL
"1755","Monday Motivation #24",NULL
"1759","The Simply Super",NULL
"1764","Friday Special Bundle #51",NULL
"1773","1C Company Mega Bundle",NULL
"1776","Hump Day Bundle #40",NULL
"1780","Indie Shootout Bundle",NULL
"1785","Monday Motivation #25",NULL
"1800","Virtual Reality IX Bundle",NULL
"1804","The Dream Team Bundle",NULL
"1833","The Dharker Studio Bundle #2",NULL
"1837","Friday Special Bundle #52",NULL
"1838","Monday Motivation Bundle #26",NULL
"1843","Hump Day Bundle #41",NULL
"1845","Boom &amp; Destruction Bundle",NULL
"1860","Daedalic Colossal Bundle",NULL
"1868","The Indie Realms Bundle",NULL
"1874","Virtual Reality X Bundle",NULL
"1893","Friday Special #7",NULL
"1894","Friday Special #6",NULL
"1895","Friday Special #5",NULL
"1896","Friday Special #4",NULL
"1897","Friday Special #3",NULL
"1898","Friday Special #2",NULL
"1899","Friday Special #1",NULL
"1900","Monday Motivation Bundle #27",NULL
"1908","The Postal Party Bundle",NULL
"1913","Friday Special Bundle #53",NULL
"1917","Sticky Rice Anime Bundle",NULL
"1921","Hump Day Bundle #42",NULL
"1926","Indie Show Bundle",NULL
"1930","Monday Motivation #28",NULL
"1934","Crystal Anime Bundle",NULL
"1941","Virtual Reality XI Bundle",NULL
"1955","The Twinkly Twelve Bundle",NULL
"1961","Friday Special Bundle #54",NULL
"1963","Every Monday #38",NULL
"1964","Every Monday #37",NULL
"1965","Every Monday #36",NULL
"1966","Every Monday #35",NULL
"1967","Every Monday #34",NULL
"1968","Every Monday #33",NULL
"1969","Every Monday #32",NULL
"1970","Every Monday #31",NULL
"1971","Every Monday #30",NULL
"1972","Every Monday #29",NULL
"1973","Every Monday #28",NULL
"1976","Monday Motivation #29",NULL
"1986","Hump Day Bundle #43",NULL
"1992","The Indie Fever Bundle","group buy"
"1993","The Indie Fever Bundle",NULL
"1998","Shaman Games Bundle","group buy"
"2002","The Hefty Indie Bundle",NULL
"2004","Virtual Reality XII Bundle",NULL
"2009","Indie Gala June (2013)",NULL
"2010","Monday Motivation #30",NULL
"2016","Indie Light Bundle",NULL
"2019","Friday Special Bundle #55",NULL
"2026","Every Monday Bundle #25",NULL
"2029","Hump Day Bundle #44",NULL
"2032","The Indie Hooligans Bundle",NULL
"2035","Monday Motivation #31",NULL
"2051","The Completionist Bundle",NULL
"2064","Virtual Reality XIII Bundle",NULL
"2073","Capsule Computers",NULL
"2076","Indie Gala X",NULL
"2077","Indie Gala 9",NULL
"2078","Indie Gala 8",NULL
"2079","Artifex Mundi Bundle #7",NULL
"2087","Magical Gates Bundle","group buy"
