id,sku,type
922,245280,Game
923,265610,Game
924,244590,Game
925,261700,Game
926,251370,Game
927,25600,Game
928,25620,Game
929,257870,Game
930,280200,Game
931,266330,Game
932,270770,Game
933,270790,Game
934,214570,Game
935,232010,Game
936,227300,Game
937,227310,dlc
938,263820,Game
939,233470,Game
940,12390,Game
941,237430,Game
942,21090,Game
943,16450,Game
944,21100,Game
945,21110,dlc
946,21120,dlc
947,204030,Game
948,303790,Game
949,214590,Game
950,38410,Game
951,22370,Game
952,22380,Game
953,22470,dlc
954,72730,dlc
955,72740,dlc
956,38420,Game
957,297210,Game
958,13520,Game
959,19900,Game
960,21960,dlc
961,220240,Game
962,233270,Game
963,266390,Game
964,277500,Game
965,284290,Game
966,246840,Game
967,303680,Game
968,276890,Game
969,282100,Game
970,253310,Game
971,224760,Game
972,209690,Game
973,215710,Game
974,233190,Game
975,291330,Game
976,259600,Game
977,267660,dlc
978,207190,Game
979,305070,Game
980,238630,Game
981,49800,Game
982,21640,Game
983,290990,Game
984,263740,Game
985,36000,Game
986,205550,Game
987,314700,Game
988,45450,Game
989,244810,Game
990,109500,Game
991,61310,Game
992,297060,Game
993,301200,Game
994,301190,Game
995,268650,Game
996,264060,Game
997,225280,Game
998,46440,Game
999,296150,Game
1000,214150,Game
1001,202200,Game
1002,212010,Game
1003,201040,Game
1004,273770,Game
1005,99410,Game
1006,99400,Game
1007,216290,Game
1008,272990,Game
1009,301480,Game
1010,216130,Game
1011,200960,Game
1012,200980,Game
1013,200990,Game
1014,201000,Game
1015,201010,Game
1016,6200,Game
1017,263460,Game
1018,9500,Game
1019,267940,Game
1020,243140,Game
1021,224500,Game
1022,227480,Game
1023,322980,Game
1024,216090,Game
1025,308000,Game
1026,265330,Game
1027,253920,Game
1028,65540,Game
1029,39500,Game
1030,65600,Game
1031,39510,Game
1032,70200,Game
1033,23450,Game
1034,12220,Game
1035,12120,Game
1036,12250,Game
1037,12110,Game
1038,12240,Game
1039,12230,Game
1040,12100,Game
1041,12210,Game
1042,41800,Game
1043,247310,Game
1044,267060,Game
1045,260570,Game
1046,319270,Game
1047,46400,Game
1048,48950,Game
1049,12750,Game
1050,44350,Game
1051,265380,Game
1052,284850,Game
1053,46570,Game
1054,46450,Game
1055,267730,Game
1056,291610,Game
1057,8660,dlc
1058,214770,Game
1059,275390,Game
1060,90500,Game
1061,111900,Game
1062,259640,Game
1063,2520,Game
1064,2525,Game
1065,11230,Game
1066,2610,Game
1067,262550,Game
1068,267920,Game
1069,264300,Game
1070,286730,Game
1071,207430,Game
